month,year,sku,units_sold
6,2024,BOXAONE,1
6,2024,BOXATHREE,1
6,2024,BOXATWO,2
6,2024,CAFEBLANKET,1
6,2024,CANBLANKET,8
6,2024,COWTAP,2
6,2024,CPWK323,9
6,2024,CPWM912,2
6,2024,EH250,1
6,2024,EH500,1
6,2024,ICEPACK,133
6,2024,INSULATED BOX,32
6,2024,MXEARTH1000,2
6,2024,MXEARTH500,3
6,2024,RNG105,2
6,2024,RNG19,3
6,2024,RNG22,1
6,2024,RNG30,2
6,2024,SAWDUST,4
6,2024,total-discount,1
6,2024,TWCANCOL,1
6,2024,TWCANLID,1
6,2024,TWCUBE,1
6,2024,TWWORMCONDITIONER,3
6,2024,VDEFMHM1,4
6,2024,VDEHIPROCARP,2
6,2024,VUKBC0,4
6,2024,VUKSC0,1
6,2024,WD-BEDKIT10,3
6,2024,WD-BEDKIT15,9
6,2024,WD-BEDKIT20,1
6,2024,WD-COMPOSTING1000,10
6,2024,WD-COMPOSTING250,7
6,2024,WD-COMPOSTING500,6
6,2024,WD-FOOD1000,5
6,2024,WD-FOOD1900,1
6,2024,WD-FOOD500,43
6,2024,WD-FOOD5000,4
6,2024,WD-HANDLOB100,9
6,2024,WD-HANDLOB150,3
6,2024,WD-HANDLOB200,3
6,2024,WD-HANDLOB50,3
6,2024,WD-HANDMLOB100,1
6,2024,WD-HANDMLOB50,2
6,2024,WD-HANDMXLOB100,1
6,2024,WD-HANDMXLOB150,1
6,2024,WD-HANDMXLOB50,2
6,2024,WD-KEEP-L-DEN500,1
6,2024,WD-KEEP-L-LOB100,4
6,2024,WD-KEEP-M-DEN250,1
6,2024,WD-KEEP-MX-DEN1000,1
6,2024,WD-L100,4
6,2024,WD-L1000,14
6,2024,WD-L25,2
6,2024,WD-L250,8
6,2024,WD-L500,13
6,2024,WD-LOB100,4
6,2024,WD-LOB25,7
6,2024,WD-LOB50,9
6,2024,WD-LOOSEEARTH50,4
6,2024,WD-M100,4
6,2024,WD-M1000,17
6,2024,WD-M250,13
6,2024,WD-M500,17
6,2024,WD-MX100,2
6,2024,WD-MX1000,16
6,2024,WD-MX250,3
6,2024,WD-MX500,3
6,2024,WD-MXM1,4
6,2024,WD-MXM2,5
6,2024,WD-MXM4,12
6,2024,WD-PBM10,3
6,2024,WD-RM1,2
6,2024,WD-RM4,1
6,2024,WD-WM1,3
6,2024,WD-WM2,1
6,2024,WD-WM4,9
6,2024,WD-WT,3
6,2024,whitetub2maggots,2
6,2024,whitetub2worms,17
6,2024,whitetub5worms,5
6,2024,WORMCOLONE,5
7,2024,BOXAONE,3
7,2024,CANBLANKET,5
7,2024,COWLEG,1
7,2024,COWLEG-1PIECE,1
7,2024,COWTAP,3
7,2024,CPWK323,2
7,2024,CPWM912,6
7,2024,EH1000,1
7,2024,EH250,3
7,2024,ICEPACK,219
7,2024,INSULATED BOX,43
7,2024,LAWNCOLTHREE,1
7,2024,MAGGOTCAST,8
7,2024,MXEARTH1000,3
7,2024,MXEARTH500,1
7,2024,RNG80,3
7,2024,SAWDUST,2
7,2024,total-discount,2
7,2024,TWCANLID,2
7,2024,TWWORMCONDITIONER,2
7,2024,VDEBASIC,3
7,2024,VDEG5BLACK,3
7,2024,VDEGOLDPRO,3
7,2024,VDESB1,3
7,2024,VDETBFEEDER,3
7,2024,VDETURBO,9
7,2024,VUKBC0,1
7,2024,VUKE0,3
7,2024,VUKEC0,1
7,2024,VUKEFO,1
7,2024,VUKLG0,2
7,2024,VUKSC0,1
7,2024,VUKSCBL0,2
7,2024,VUKTB11,2
7,2024,WD-BEDKIT10,1
7,2024,WD-BEDKIT15,7
7,2024,WD-BEDKIT20,3
7,2024,WD-COMPOSTING1000,4
7,2024,WD-COMPOSTING250,4
7,2024,WD-COMPOSTING500,3
7,2024,WD-FOOD1000,3
7,2024,WD-FOOD1900,1
7,2024,WD-FOOD3000,3
7,2024,WD-FOOD500,38
7,2024,WD-FOOD5000,1
7,2024,WD-HANDLOB100,15
7,2024,WD-HANDLOB150,5
7,2024,WD-HANDLOB200,5
7,2024,WD-HANDLOB300,5
7,2024,WD-HANDLOB50,4
7,2024,WD-HANDMLOB100,1
7,2024,WD-HANDMLOB300,1
7,2024,WD-HANDMLOB50,1
7,2024,WD-HANDMXLOB100,3
7,2024,WD-HANDMXLOB150,2
7,2024,WD-HANDMXLOB200,2
7,2024,WD-HANDMXLOB50,1
7,2024,WD-KEEP-L-DEN1000,1
7,2024,WD-KEEP-M-DEN250,2
7,2024,WD-KEEP-M-LOB100,1
7,2024,WD-KEEP-MX-DEN500,1
7,2024,WD-L100,7
7,2024,WD-L1000,12
7,2024,WD-L25,1
7,2024,WD-L250,8
7,2024,WD-L500,9
7,2024,WD-LOB100,3
7,2024,WD-LOB25,5
7,2024,WD-LOB50,10
7,2024,WD-LOOSEEARTH100,1
