month,year,sku,category,sold_price_after_vat,sold_price_before_vat,cost_of_item,packaging,transaction_fee,delivery,total_expenses,profit_margin,profit
6,2024,WD-KEEP-M-DEN250,Medium Dendrobaena,34.50,28.75,2.65,3.45,1.30,0.00,7.40,74.26,21.35
6,2024,WD-KEEP-M-DEN500,Medium Dendrobaena,40.00,33.33,5.30,4.54,1.46,0.00,11.30,66.10,22.03
6,2024,WD-KEEP-M-DEN1000,Medium Dendrobaena,48.16,40.13,10.60,5.39,1.70,0.00,17.69,55.93,22.44
6,2024,WD-MX25,Mixed Dendrobaena,3.99,3.33,0.27,0.08,0.42,0.00,0.77,77.01,2.56
6,2024,WD-MX100,Mixed Dendrobaena,4.99,4.16,1.06,0.08,0.44,0.00,1.58,61.91,2.58
6,2024,WD-MX250,Mixed Dendrobaena,6.99,5.83,2.65,0.22,0.50,0.00,3.37,42.15,2.46
6,2024,WD-MX500,Mixed Dendrobaena,13.18,10.98,5.30,0.22,0.68,0.00,6.20,43.51,4.78
6,2024,WD-MX1000,Mixed Dendrobaena,23.70,19.75,10.60,0.22,0.99,0.00,11.81,40.22,7.94
6,2024,WD-L25,Large Dendrobaena,4.99,4.16,0.27,0.08,0.44,0.00,0.79,80.90,3.37
6,2024,WD-L100,Large Dendrobaena,5.99,4.99,1.06,0.08,0.47,0.00,1.61,67.66,3.38
6,2024,WD-L250,Large Dendrobaena,7.99,6.66,2.65,0.22,0.53,0.00,3.40,48.92,3.26
6,2024,WD-L500,Large Dendrobaena,14.99,12.49,5.30,0.22,0.73,0.00,6.25,49.92,6.24
6,2024,WD-L1000,Large Dendrobaena,24.99,20.82,10.60,0.22,1.02,0.00,11.84,43.11,8.98
6,2024,WD-LOB25,Lobworms,7.99,6.66,1.88,0.66,0.53,0.00,3.07,53.88,3.59
6,2024,WD-LOB50,Lobworms,12.50,10.42,3.75,0.28,0.66,0.00,4.69,54.97,5.73
6,2024,WD-LOB100,Lobworms,21.99,18.32,7.50,0.56,0.94,0.00,9.00,50.89,9.32
6,2024,WD-HANDMXLOB50,Lobworms,17.80,14.83,3.75,0.28,0.82,0.00,4.85,67.32,9.98
